"","cocktails_name","ingredient_1","ingredient_2","ingredient_3","ingredient_4","ingredient_5","ingredient_6","ingredient_7","ingredient_8","ingredient_9","ingredient_10","ingredient_11","ingredient_12","abv","volume(ml)"
"246","Cherry Daiquiri","Light Rum:37.5","Cherry Brandy:12.5","Lime Juice:12.5","Vanilla Sugar Syrup:5.0","8 Cherries","","","","","","","",29.2,68
"248","Cherubs Cup","Elderflower Liqueur:25.0","Vodka:50.0","Lemon Juice:20.0","Simple Syrup:5.0","Muddled Strawberry:5.0","top-up Brut Rose Sparkling Wine","Strawberry","","","","","",23.6,105
"249","Chi-Chi","Vodka:50.0","Blue Curacao:12.5","Coconut Cream:12.5","fresh Pineapple:0.5(cup)","scoop of Vanilla Ice-Cream","Pineapple Chunk","","","","","","",26.5,93
"250","Chicago Cocktail","Brandy:25.0","Triple-Sec:25.0","Angostura Bitters:1.0(dash)","Champagne:1.0(dash)","Caster Sugar","Egg-White","","","","","","",36.5,52
"251","Chicago Fizz","Dark Rum:25.0","Ruby Port:25.0","Lemon juice:25.0","Sugar:1.0(teaspoon)","Soda Water","","","","","","","",18.2,80
"252","Chocolate and Orange Martini","Vodka:25.0","White Crème de Cacao:12.5","Triple Sec:1.0(dash)","Chocolate Chunks","","","","","","","","",34.2,38
"253","Chocolate Cake","Citrus Vodka:20.0","Hazelnut Liqueur:20.0","Sugar Coated Lemon","","","","","","","","","",29.3,40
"255","Chocolate Martini","Vodka:50.0","White Crème de Cacao:37.5","Hershey Hug","Powdered Cocoa","","","","","","","","",33.2,88
"257","Choking Hazard","Whiskey:75.0","Olive Juice:1.0(splash)","Dry Vermouth:1.0(dash)","3 Cheese & Almond Stuffed Olives","","","","","","","","",36.7,82
"259","Chrysanthemum","Absinthe:10.0","Brandy:20.0","Dry Vermouth:50.0","Orange Peel","","","","","","","","",48.6,80
"260","Churchill","Scotch Whiskey:45.0","Sweet Vermouth:15.0","Triple Sec:15.0","Lime Juice:15.0","","","","","","","","",29.3,90
"261","Cinderella","Lemon Juice:25.0","Orange Juice:25.0","Pineapple Juice:25.0","Ginger Ale:50.0","Grenadine Syrup:1.0(dash)","Pineapple & Orange Slices","","","","","","",2.5,126
"262","Citrus Banshee","Citrus Vodka:25.0","Banana Liqueur:12.5","White Crème de Cacao:12.5","Cream","","","","","","","","",31.9,50
"263","Citrus Caipirinha","Cachaca:50.0","Sugar Syrup:20.0","1/4 Lemon","1/4 Lime","1/8 Pineapple","","","","","","","",33.8,70
"264","Cliffhanger","Brandy:25.0","Coffee Liqueur:25.0","Cream Liqueur:25.0","Cream","","","","","","","","",38.5,75
"265","Clover Club","Caorunn Gin:37.5","Lemon Juice:37.5","Sweet Vermouth:20.0","Raspberry Syrup:20.0","1 Egg White","","","","","","","",16.6,115
"266","Club Cocktail","Brandy:50.0","Maraschino Liqueur:12.5","Pineapple Juice:12.5","Peychauds bitters:2.0(dash)","Lemon Peel","","","","","","","",43.7,77
"267","Coco Colada","Pineapple Juice:100.0","Coconut Cream:50.0","Orange slice","","","","","","","","","",0,150
"268","Coco Margarita","Tequila:37.5","Sour Mix:12.5","Pineapple Juice:25.0","Lime Juice:12.5","Coconut Cream:12.5","Pineapple wedge","","","","","","",14.9,100
"269","Coconaut","Dark Rum:50.0","Cream of Coconut:37.5","Lime Juice:12.5","","","","","","","","","",19.8,100
"270","Colleen Bawn","Rye Whiskey:37.5","Yellow Chartreuse:37.5","Benedictine:37.5","1 Egg","Simple Syrup:1.0(teaspoon)","Nutmeg","","","","","","",41.5,117
"271","Colombia","Vodka:50.0","Blue Curacao:25.0","Grenadine:25.0","Syrup","Lemon Juice:25.0","Orange Juice:150.0","","","","","","",10.9,275
"272","Colt 45","Gin:25.0","Jagermeister:50.0","Energy Drink:150.0","","","","","","","","","",12.2,225
"273","Commander White","Vodka:45.0","Pineapple Juice:90.0","Lemon Juice:15.0","Tabasco Sauce:1.0(dash)","Worcestershire Sauce:2.0(dash)","Salt:1.0(dash)","Pepper:1.0(dash)","Celery Stalk","","","","",11.6,155
"274","Commodore","Rum:50.0","1 Egg White","Sugar:1.0(teaspoon)","Lemon Juice:1.0(dash)","Grenadine Syrup:1.0(dash)","Raspberry Syrup:1.0(dash)","","","","","","",34.1,58
"275","Communitini","Pomegranate Vodka:37.5","Pomegranate Juice:37.5","Simple Syrup:20.0","Fresh mint:5.0","Sugar","","","","","","","",6.3,100
"276","Comrade Collins","Vodka:50.0","Lemon Juice:25.0","Sugar Syrup:1.0(drizzle)","Soda Water:1.0(splash)","Lemon Slice","","","","","","","",24.1,82
"277","Cool Colada","Pineapple Vodka:25.0","Coconut Vodka:12.5","Pineapple Juice:12.5","","","","","","","","","",25.7,50
"278","Coppertone","Coconut Rum:50.0","Cherry Cola:100.0","Lime Wedge","","","","","","","","","",7,150
"279","Corn N `Oil","Cruzan Blackstrap Rum:10.0","Falernum:10.0","Lime Wedge","","","","","","","","","",27.6,20
"281","Corpse Reviver","Cognac:50.0","Calvados:25.0","Sweet Vermouth:25.0","","","","","","","","","",34.2,100
"282","Corpse Reviver #2","Gin:20.0","Triple Sec:20.0","Lillet Blanc:20.0","Absinthe:1.0(dash)","Lemon Juice:20.0","","","","","","","",24.5,81
"283","Corzo La Futura","Silver Tequila:37.5","Ginger Liqueur:20.0","Pineapple Juice:20.0","Lime juice:25.0","Agave Nectar:12.5","Crystalized Ginger","Lemon Peel","","","","","",22.6,115
"284","Cosmocello","Vodka Citron:40.0","Triple Sec:15.0","Limoncello:15.0","Cranberry Juice:30.0","Lime Wedge","","","","","","","",25.9,100
"285","Cosmopolitan","Citrus Vodka:37.5","Triple Sec:12.5","Cranberry Juice:30.0","1/2 squeezed lemon","Sugar Syrup:12.5","","","","","","","",21.4,92
"287","Country Breeze","Gin:50.0","Black Raspberry Liqueur:25.0","Apple Juice:100.0","Berries","","","","","","","","",13.7,175
"288","Cran Daddy Shandy","Fresh Lemonade:50.0","White Cranberry Juice:25.0","Ginger Beer:25.0","","","","","","","","","",2.2,100
"290","Crantini","Vodka:80.0","Cranberry Liqueur:12.5","Fresh Cranberries","","","","","","","","","",36.5,92
"292","Cricket","Mint Chocolate Liqueur:25.0","White Crème de Cacao:25.0","Cream:25.0","","","","","","","","","",14.8,75
"293","Crouching Tiger","Lychee Liqueur:12.5","Silver Tequila:12.5","","","","","","","","","","",36.5,25
"294","Cuba Libre","Anejo Rum:50.0","8 Lime wedges","Cola:100.0","Lime wedge","","","","","","","","",12.6,150
"295","Cuba Light","White Rum:50.0","Diet Cola:100.0","Lime Wedge","","","","","","","","","",13.2,150
"297","Cuban Manhattan","Dark Rum:50.0","Sweet Red Vermouth:10.0","Dry Vermouth:10.0","Angostura Bitters:1.0(dash)","Maraschino Cherry","","","","","","","",36.4,71
"298","Cuban Missile Crisis","151 Proof Rum:50.0","Cola:100.0","Lime Wedge","","","","","","","","","",25,150
"299","Cuban Rose","White Rum:37.5","Orange Juice:20.0","Grenadine Syrup:1.0(dash)","","","","","","","","","",25.2,58
"300","D.R.F.O","Dark Rum:37.5","Ouzo:37.5","Frangelico:37.5","","","","","","","","","",33,112
"301","Dafne Martini","Gin:37.5","Pear Vodka:37.5","Blue Curacao:12.5","Dry Vermouth:12.5","Orange Bitters:1.0(dash)","","","","","","","",39.3,101
"302","Daiquiri","White Rum:50.0","Sugar:1.5(bar spoon)","Lime Juice:25.0","Lime slice","","","","","","","","",25.1,79
"304","Dark `N` Stormy","Dark Rum:50.0"," 4 Lime quarters","Brown Sugar:1.5(bar spoon)","Ginger Beer:1.0(splash)","Lime wedge","","","","","","","",33.8,60
"305","Death by Chocolate","Coffee Liqueur:25.0","Dark Crème de Cacao:25.0","Vodka:25.0","Chocolate Syrup:25.0","2 scoops Chocolate Ice Cream","Whipped Cream","Maraschino Cherry","","","","","",26,100
"307","Deep Purple","Tequila:50.0","Lemon Juice:25.0","Beetroot Syrup:12.5","Orgeat Syrup:5.0","Beetroot Slices","Rosemary Sprig","","","","","","",21.4,92
"308","Delilah","Gin:37.5","Triple Sec:20.0","Lemon Juice:20.0","","","","","","","","","",29.3,78
"309","Derby Daiquiri","Light Rum:50.0","Orange Juice:20.0","Lime Juice:12.5","Sugar Syrup:5.0","","","","","","","","",22.6,88
"311","Detropolitan","Vodka:25.0","Triple Sec:12.5","Black Raspberry Liqueur:5.0","Cranberry Juice:37.5","Lime Juice:12.5","","","","","","","",16.9,92
"312","Devil Cocktail","Brandy:50.0","White Crème de Menthe:12.5","pinch of Cayenne Pepper","","","","","","","","","",52.2,62
"313","Devil`s Punch","Tequila:50.0","Orange Liqueur:25.0","Limoncello:25.0","Sour Mix:25.0","Orange Juice:1.0(dash)","","","","","","","",29.2,126
"315","Dirty Martini","Gin:65.0","Dry Vermouth:12.5","Olive Brine to taste","Olive garnish","","","","","","","","",39.5,78
"316","Dirty Mother","Brandy:37.5","Coffee Liqueur:12.5","","","","","","","","","","",53.9,50
"317","Distracted","2 ounces Bourbon Whiskey","Chambord:20.0","Cranberry Juice:12.5","lemon bitters:1.0(dash)","","","","","","","","",9.6,33
"319","Don Pedro","Whiskey:25.0","Coffee Liqueur:25.0","Vanilla Ice Cream:1.0(cup)","Cream","","","","","","","","",22.8,87
"320","Donald Sutherland","Rye Whiskey:45.0","Drambuie:25.0","","","","","","","","","","",46.4,70
"321","Dorflinger","Plymouth Gin:50.0","Absinthe:25.0","Orange Bitters:1.0(dash)","","","","","","","","","",50.9,76
"322","Double Vision","Raspberry Vodka:25.0","Citron Vodka:25.0","Apple Juice:25.0","Lime Juice:12.5","Sugar Syrup:5.0","Old Fashioned Bitters:3.0(dash)","","","","","","",19.5,95
"323","Down East Delight","Cranberry Juice:50.0","Grapefruit Juice:50.0","Orange Juice:0.5(cup)","Orgeat Syrup:25.0","Maraschino Cherry","","","","","","","",0,143
"325","Dreamy Blues","White Crème de Cacao:37.5","Blue Curacao:37.5","","","","","","","","","","",32.1,75
"326","Dry Manhattan","Scotch Whiskey:50.0","Dry Vermouth:20.0","Angostura Bitters:1.0(dash)","Maraschino cherry","","","","","","","","",39.5,71
"327","Dubonnet","Gin:37.5","Dubonnet Rouge:20.0","Lemon twist","","","","","","","","","",32.1,58
"328","Duncan Macleod","Sake:25.0","Scotch Whiskey:50.0","Sugar:3.0(tablespoon)","Cola:1.0(splash)","","","","","","","","",19,125
"330","Dusk in Eden","Vodka:37.5","Apple Juice:25.0","Simple Syrup:1.0(dash)","1 large Slice of Pomegranate","Pomegranate Seeds","","","","","","","",23.3,63
"331","Dyevitchka","Vodka:50.0","Triple Sec:25.0","Pineapple Juice:50.0","Lime Juice:25.0","Sugar Syrup:20.0","Orange Zest Twist","","","","","","",17.5,170
"332","D`Artagnan","Armagnac:1.0(teaspoon)","Grand Marnier:1.0(teaspoon)","Orange Juice:1.0(teaspoon)","Simple Syrup:1.0(teaspoon)","Champagne:75.0","Orange Peel","","","","","","",13.7,95
"333","Earthquake","Absinthe:30.0","Cognac:30.0","","","","","","","","","","",56.1,60
"334","East Side Press","Ginger Liqueur:25.0","Cognac:37.5","Lemon Juice:5.0","Egg-White","Brown Sugar:1.0(teaspoon)","5 pieces of fresh Ginger","2 pieces Candied Ginger","","","","","",30,72
"335","Easter Bunny","Crème de Cacao:37.5","Vodka:12.5","Chocolate Syrup:1.0(teaspoon)","Cherry Brandy:1.0(teaspoon)","","","","","","","","",26.2,60
"337","Easy Bourbon Tea","Bourbon Whiskey:37.5","Limoncello:12.5","Ice Tea:100.0","Lemon Wedge","","","","","","","","",12.3,150
"338","Eddy","Gin:20.0","Dry Vermouth:20.0","Orange Juice:20.0","","","","","","","","","",26.2,60
"339","Eden","Vodka:25.0","Triple Sec:25.0","Elderflower Cordial:5.0","Apple Juice:37.5","Top-Up Tonic Water","","","","","","","",21.4,92
"341","El Presidente","Aged Rum:50.0","Orange Liqueur:12.5","Dry Vermouth:10.0","Grenadine:1.0(splash)","Orange Peel","","","","","","","",46,78
"343","Elderflower Martini","Gin:37.5","Triple Sec:12.5","Apple Juice:25.0","Lemon Juice:12.5","Elderflower Cordial:5.0","","","","","","","",21.4,92
"344","Electric Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Blue Curacao:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Lemon-Lime Soda:1.0(splash)","","","","",21.9,136
"345","Electric Martini","Vodka:50.0","Blue Curacao:12.5","Sweet-And- Sour Mix:12.5","","","","","","","","","",32.9,75
"346","Embassy","Brandy:20.0","Rum:20.0","Triple Sec:20.0","Lime Juice:12.5","Angostgura Bitters:1.0(dash)","Lime Wedge","","","","","","",37.6,73
"347","Emerald Isle","Gin:25.0","Crème de Menthe:1.0(teaspoon)","Bitters:2.0(dash)","","","","","","","","","",36.9,32
"348","Emerson","Gin:50.0","Sweet Vermouth:25.0","Maraschino Liqueur:12.5","Lemon Juice:12.5","","","","","","","","",28.2,100
"350","Enamorada Sunrise","Tequila:45.0","Orange Juice:90.0","Campari:15.0","Orange Slice","","","","","","","","",14,150
"351","English Rose","Gin:50.0","Dry Vermouth:25.0","Apricot Brandy:25.0","Lemon Juice:12.5","Grenadine Syrup:1.0(teaspoon)","Maraschino Cherry","","","","","","",32.7,117
"353","Epiphany","Bourbon Whiskey:45.0","Crème de Mure:12.5","Apple Juice:50.0","3 Blackberries","","","","","","","","",18.4,108
"354","Especial","Light Rum:37.5","Triple Sec:20.0","Pineapple Juice:50.0","Lime Juice:12.5","","","","","","","","",19,120
"355","Espresso Martini","Vanilla Vodka:37.5","Kahlúa:12.5","Double Espresso","Sugar Syrup:12.5","3 Coffee Beans","","","","","","","",24.6,62
"356","Everybody`s Irish","Irish Whiskey:50.0","Green Crème de Menthe:1.0(tablespoon)","Green Chartreuse:1.0(tablespoon)","Cocktail Olive","","","","","","","","",39.5,80
"357","Fabiola","Sweet Vermouth:20.0","Brandy:20.0","Grand Marnier:20.0","","","","","","","","","",38.7,60
"358","Fancy Whiskey","Canadian Whiskey:50.0","Sugar:12.5","Triple Sec:12.5","Bitters:1.0(dash)","Lemon Twist","","","","","","","",33.1,76
"359","Farnell","Jack Daniels:25.0","Lemonade:75.0","1 Lime Slice ","1 Mint Sprig","","","","","","","","",8.7,100
"360","Fireball","White Rum:20.0","Cinnamon Schnapps:20.0","Tabasco Sauce:2.0(dash)","","","","","","","","","",39,42
"361","Firecracker","Tequila:12.5","Goldschlager:12.5","Peppermint Scnapps:12.5","","","","","","","","","",43.3,38
"362","Firefly","Vodka:50.0","Grapefruit Juice:100.0","Grenadine Syrup:25.0","","","","","","","","","",11.4,175
"363","Fish House Punch","Jamaican Amber Rum:750.0","Cognac:600.0","Peach Brandy:50.0","Sugar:1.0(cup)","Water:3.5(cup)","Lemon Juice:1.5(cup)","Lemon Slices","","","","","",34.2,1619
"364","Fizzy Apple Cocktail","Apple Vodka:25.0","Apple Juice:0.5(cup)","Lemonade:0.5(cup)","Apple Slice","","","","","","","","",2,62
"365","Fizzy Peach","Peach Vodka:25.0","Tonic Water:125.0","","","","","","","","","","",5.8,150
"366","Flaming Dr. Pepper","Beer:565.0","Amaretto:30.0","151 Proof Rum:10.0","","","","","","","","","",6.8,605
"367","Flaming Homer","Brandy:25.0","Peppermint Schnapps:25.0","Sloe Gin:25.0","Blackberry Liqueur:25.0","Strawberry Juice:25.0","Cough Syrup","","","","","","",35.7,125
"368","Flirtini","Vodka:25.0","Triple Sec:25.0","Champagne:75.0","2 pieces fresh Pineapple","Maraschino Cherry","","","","","","","",23.1,125
"370","Florida Sunrise","Tequila:45.0","Orange Juice:45.0","Pineapple Juice:45.0","Grenadine Syrup:15.0","Orange Slice","","","","","","","",11.9,150
"371","Floridita Margarita","Tequila:37.5","Triple Sec:12.5","Grapefruit Juice:37.5","Lime Juice:37.5","Cranberry Juice:12.5","Sugar Syrup:12.5","Lime Cordial:5.0","Lime Wedge","","","","",12.8,155
"372","Flossy Aussie","Lime Juice:12.5","Simple Syrup:12.5","Kiwi Juice:50.0","Bitter Lemon Soda:50.0","3 Kumquats halved ","1/4 Kiwi diced with skin on","Skewer of Kiwi and Kumquats","","","","","",0,125
"374","Four Horsemen","Bourbon Whiskey:10.0","Scotch Whiskey:10.0","Tennessee Whiskey:10.0","Irish Whiskey:10.0","","","","","","","","",39,40
"375","Four Horsemen and Hell Follows","Bourbon Whiskey:5.0","Scotch Whiskey:5.0","Tennessee Whiskey:5.0","Irish Whiskey:5.0","Everclear:5.0","","","","","","","",49,25
"376","Four Horsemen Go Hunting","Bourbon Whiskey:5.0","Scotch Whiskey:5.0","Tennessee Whiskey:5.0","Irish Whiskey:5.0","Wild Turkey:5.0","","","","","","","",38.6,25
"377","Four Men in a Boat","Bourbon Whiskey:5.0","Scotch Whiskey:5.0","Tennessee Whiskey:5.0","Irish Whiskey:5.0","1 part Grand Mariner","","","","","","","",38.1,20
"378","Fourth of July","Vodka:12.5","Blue Curacao:12.5","Grenadine Syrup:12.5","","","","","","","","","",26,38
"379","Freddy Fudpucker","Galliano:12.5","Tequila:50.0","Orange Juice:100.0","","","","","","","","","",15.5,162
"380","French 75","Caorunn Gin:37.5","Champagne:1.0(splash)","Sugar Syrup:10.0","Lemon Juice:15.0","","","","","","","","",23.6,68
"381","French Connection","Cognac:25.0","Amaretto:25.0","","","","","","","","","","",33.3,50
"382","French Kiss","Amaretto:10.0","Dark Crème de Cacao:10.0","Irish Cream Liqueur:10.0","","","","","","","","","",22.6,30
"384","French Pear Martini","Elderflower Liqueur:37.5","Pear Vodka:37.5","Champagne","Sugar","","","","","","","","",29.6,75
"385","Fresca","Citron Vodka:37.5","Black Raspberry Liqueur:12.5","Grapefruit Juice:25.0","Lemon Juice:12.5","Top-Up Lemonade","","","","","","","",19.3,88
"386","Fresh Squeeze","Light Rum:37.5","Guava Rum:25.0","Campari:12.5","Sour Mix:12.5","Lemon Wedge","","","","","","","",27.6,88
"387","Friar Tuck","Frangelico:25.0","Dark Creme de Cacao:25.0","Cream:50.0","","","","","","","","","",10.9,100
"389","Frog In a Blender","Vodka:50.0","Cranberry Juice:100.0","2 Lime Wheels","","","","","","","","","",13.2,150
"390","Frostbite","Tequila:37.5","White Crème de Cacao:12.5","Blue Curacao:12.5","Cream:12.5","Maraschino Cherry","","","","","","","",30.4,75
"391","Full House","Apple Whiskey:20.0","Benedictine:20.0","Yellow Chartreuse:20.0","Angostura Bitters:1.0(dash)","","","","","","","","",37.8,61
"392","Full Moon Fever","Spiced Rum:12.5","White Rum:25.0","Coconut Rum:50.0","Melon Liqueur:25.0","Sour Mix:1.0(dash)","top-up of Apple Juice","","","","","","",26.3,113
"393","Fuzzy Navel","Peach Schnapps:37.5","top-up of Orange Juice","","","","","","","","","","",23.4,38
"394","Garbo","Brandy:25.0","Dry Vermouth:25.0","Orange Juice:25.0","Grenadine Syrup:5.0","White Crème de Menthe:1.0(dash)","","","","","","","",30.8,81
"395","General Sherman","Southern Comfort:37.5","Tabasco Sauce:2.0(dash)","","","","","","","","","","",32.5,39
"396","Ghostbuster","Peach Schnapps:25.0","Melon Liqueur:25.0","5 drops of Irish Cream Liqueur","","","","","","","","","",22.1,50
"397","Gibson","Gin:60.0","Dry Vermouth:10.0","1 Silverskin Onion","","","","","","","","","",39.4,70
"398","Gimlet","Premium Gin:60.0","Lime Cordial:10.0","","","","","","","","","","",31.7,70
"399","Gin & Tonic","Gin:50.0","Tonic Water","2 Lime wedges","","","","","","","","","",39.2,50
"400","Gin &  Sin","Gin:25.0","Lemon Juice:25.0","Orange Juice:25.0","Grenadine Syrup:1.0(dash)","","","","","","","","",13,76
"401","Gin Berry","Gin:37.5","Black Raspberry Liqueur:12.5","Cranberry Juice:37.5","Lime Juice:12.5","","","","","","","","",16.9,100
"403","Gin Rickey","Gin:50.0","Lime Juice:25.0","Sugar Syrup:12.5","Soda Water","Lime wedge","","","","","","","",22.6,88
"404","Gin Sling","Gin:37.5","Sweet Vermouth:25.0","Lemon Juice:20.0","Simple Syrup:25.0","Angostura Bitters:1.0(dash)","Soda Water","Lemon Spiral","","","","","",18.2,108
"405","Gin Sour","Gin:50.0","Lemon Juice:25.0","Simple Syrup:12.5","Egg-White:1.0(splash)","","","","","","","","",21.2,93
"409","Ginger Rogers","Dry Gin:25.0","Dry Vermouth:25.0","Apricot Brandy:25.0","Lemon Juice:4.0(dash)","","","","","","","","",36.1,79
"410","Ginger Tea","VSOP Cognac:25.0","Brewed Green Tea (chilled):50.0","Simple Syrup:12.5","3 Mint Leaves","3 pieces of Ginger","Mint Leaf","","","","","","",11.3,88
"411","GingerBread Martini","Citrus Vodka:37.5","Gingerbread Liqueur:37.5","Dry Vermouth:12.5","Simple Syrup:5.0","Lime Wedge","","","","","","","",28.2,92
"412","Ginza Mary","Sake:37.5","Vodka:37.5","Lemon Juice:12.5","Tomato Juice:37.5","Tabasco Sauce:several(dash)","pinch of Ground White Pepper","Soy Sauce:1.0(dash)","","","","","",16.5,126
"413","Girl Scout Cookie","Coffee Liqueur:10.0","Irish Cream Liqueur:10.0","Peppermint Schnapps:10.0","","","","","","","","","",34.5,30
"415","Glitter Bomb","Goldschlager:37.5","Energy Drink:125.0","","","","","","","","","","",10,162
"416","Godchild","Amaretto:35.0","Cream:35.0","","","","","","","","","","",13.8,70
"417","Godfather","Scotch Whiskey:37.5","Amaretto:12.5","","","","","","","","","","",36.3,50
"418","Godmother","Amaretto:35.0","Vodka:35.0","","","","","","","","","","",33.5,70
"419","Golden Cadillac","Galliano:20.0","White Crème de Cacao:20.0","Cream:20.0","","","","","","","","","",22.1,60
"420","Golden Dawn","Gin:20.0","Apricot Brandy:20.0","Calvados:20.0","Orange Juice:20.0","","","","","","","","",28.4,80
"422","Golden Dream","Galliano:20.0","Triple Sec:20.0","Orange Juice:20.0","Cream:10.0","","","","","","","","",23.2,70
"423","Golden Green Apple Cocktail","Irish Whiskey:50.0","Sour Apple Schnapps:25.0","White Cranberry Juice:1.0(splash)","","","","","","","","","",29,81
"424","Golden Margarita","Gold Tequila:37.5","Orange Liqueur:12.5","Lime Juice:12.5","Sour Mix:75.0","Orange Juice:1.0(dash)","Lime Wedge","Salt","","","","","",14.3,138
"425","Golden Raspberry","Jagermeister:25.0","Vodka:12.5","Tequila:25.0","Raspberry Juice:12.5","Grenadine Syrup:12.5","","","","","","","",26.8,88
"426","GoldenEye","Vodka:25.0","Amaretto:25.0","Lemon Twist","","","","","","","","","",33.3,50
"427","Gong","Sake:60.0","Pama Pomegranate Liqueur:20.0","","","","","","","","","","",16,80
"428","Goober","Vodka:37.5","Black Raspberry Liqueur:37.5","Melon Liqueur:37.5","Triple Sec:25.0","Grenadine Syrup:25.0","Pineapple Juice:75.0","Orange Juice:100.0","Orange slice","","","","",11.5,338
"429","Good Luck Charm","Bourbon:37.5","Limoncello:20.0","Lemon Sour:50.0","5 Spearmint Leaves","","","","","","","","",19,108
"430","Grand Orange Collins","Grand Marnier:50.0","Lemon Juice:25.0","Orange Juice:25.0","Sugar Syrup:1.0(drizzle)","Soda Water:1.0(splash)","","","","","","","",18.5,107
"431","Grapefruit Daiquiri","Light Rum:37.5","Dark Rum:12.5","Grapefruit Juice:37.5","Sugar Syrup:20.0","Cherry","","","","","","","",18.4,108
"432","Grasshopper","Crème de Menthe:20.0","Crème de Cacao:20.0","Cream:20.0","","","","","","","","","",16.1,60
"433","Grateful Dead","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Chambord:1.0(splash)","","","","",22.6,136
"434","Green Carnation","Vodka:50.0","Melon Liqueur:12.5","Benedictine:1.0(splash)","Lime Juice:1.0(splash)","","","","","","","","",33.2,74
"435","Green Eyes","Premium Vodka:25.0","Blue Curacao:25.0","Orange Juice:50.0","Apple Slice","","","","","","","","",19.8,100
"437","Green Grape Glacier","White Grape Juice:100.0","Cold Sparkling Water:100.0","12 Seedless Green Grapes","","","","","","","","","",0,200
"438","Green Hornet","Brandy:37.5","Crème de Menthe:37.5","","","","","","","","","","",41.9,75
"439","Green Iguana Margarita","Midori Liqueur:25.0","Tequila:12.5","Sweet-and-Sour Mix:50.0","Lime Wheel","","","","","","","","",11.3,88
"440","Green Lemonade","Lemonade:100.0","Limeade:50.0","Simple Syrup:20.0","4 peeled Kiwi slices","Lime Slice","","","","","","","",0,170
"441","Green Vesper","Gin:75.0","Vodka:25.0","Absinthe:12.5","Quinnine Powder:1.0(teaspoon)","","","","","","","","",41.6,117
"442","Greentini","Vodka:50.0","Melon Liqueur:37.5","Lime Wedge","","","","","","","","","",31.5,88
"443","Grinch","Melon Liqueur:50.0","Lemon Juice:12.5","Simple Syrup:1.0(teaspoon)","Maraschino Cherry","","","","","","","","",15.3,67
"444","Grog","Rum:50.0","juice of  1/2 Lemon","1 Sugar Cube","2 Cloves","Stick of Cinnamon","","","","","","","",39.2,50
"445","Guinness Daiquiri","Gold Rum:37.5","Orange Liqueur:12.5","Lime Juice:25.0","Sugar Syrup:25.0","Guinness:25.0","","","","","","","",16.7,125
"447","Halfpipe","Absinthe:25.0","Coffee Liqueur:25.0","Cream Liqueur:25.0","","","","","","","","","",43.1,75
"448","Halloween Harvest Punch","Melon Liqueur:25.0","Dark Rum:25.0","Light Rum:25.0","White Cranberry Juice:50.0","Apple Juice:25.0","Simple Syrup:25.0","Juice of 1 Lemon","Apple Slices","Blueberries and Melon Balls","","","",14.3,175
"449","Halloween Hpnotist","Hpnotiq:50.0","Premium Vodka:25.0","Lemon Juice:1.0(splash)","1 Glowstick","","","","","","","","",22.6,81
"450","Hangmans Blood","Gin:50.0","Whiskey:50.0","Rum:50.0","Port:50.0","Brandy:50.0","Stout Beer:several(bottle)","Top up of Champagne.","","","","","",39.8,250
"451","Happy New Year","Brandy:20.0","Ruby Port:20.0","Champagne:100.0","Orange Juice:20.0","","","","","","","","",17.4,160
"452","Harrington","Green Chartreuse:4.0","Vodka:25.0","Blue Curacao:25.0","Orange Peel","","","","","","","","",40.4,54
"453","Harrogate Nights","Vodka:25.0","Peach Schnapps:12.5","Coconut Rum:12.5","Orange Juice:25.0","Pineapple Juice:25.0","Cranberry Juice:1.0(dash)","","","","","","",15.3,101
"454","Harvard Iced Tea","Gin:15.0","Vodka:15.0","Tequila:15.0","White Rum:15.0","Triple Sec:15.0","Lemon Juice:25.0","Gomme syrup:30.0","Champagne:1.0(splash)","","","","",22.4,136
"455","Harvey Wallbanger","Vodka:50.0","Fresh Orange Juice:100.0","Gailliano:1.0(splash)","","","","","","","","","",12.7,156
"456","Hawaiian Sour","Bourbon Whiskey:37.5","Pineapple Juice:37.5","Lemon Juice:20.0","Sugar Syrup:12.5","","","","","","","","",13.8,108
"457","Hemingway Daiquiri","White Rum:50.0","Maraschino Liqueur:10.0","Grapefruit Juice:12.5","Lime Juice:12.5","Simple Syrup:12.5","Maraschino Cherry","","","","","","",23.6,98
"458","Hi-Ho","Gin:50.0","White Port:25.0","Orange Bitters:4.0(dash)","Lemon Peel","","","","","","","","",31.8,79
"459","Hibicus Royal","Sparkling Wine:90.0","Raspberry Liqueur:5.0","Peach Liqueur:5.0","Hibicus Flower","","","","","","","","",14,100
"460","Hifi","Vodka:50.0","Carbonated Orange Juice:100.0","Orange Slice","","","","","","","","","",13.2,150
"461","High Voltage","Tequila:30.0","Peach Liqueur:15.0","Lime Juice:5.0","","","","","","","","","",30.6,50
"462","Highland Margarita","Tequila:37.5","Grand Marnier:12.5","Drambuie:12.5","Sweet and Sour Mix:5.0","Lime Wedge","Salt","","","","","","",36.5,68
"463","Holiday Hopper","Melon Liqueur:25.0","Green Creme de Menthe:12.5","White Creme de Cacao:12.5","Half and Half:50.0","Mint Leaves","Raspberry","","","","","","",14.1,100
